id,bairro,cep,cidade,cpf,data_nasc,email,endereco,estado,idade,mae,nome,numero,signo,tipo_sanguineo,
465,Cajazeiras,41338-100,Salvador,584.433.850-22,21/01/1989,kauerenatoricardopinto_@cntbrasil.com.br,Caminho 12-Nucleo A,BA,30,Pietra Manuela Marcela ,Kaue Renato Ricardo Pinto,938,Aquario,O-,
466,Pinheirinho,85506-180,Pato Branco,948.013.865-47,24/03/1949,kaiquepietrorocha-89@belbrindes.com,Rua Visconde de Guarapuava,PR,70,Sara Rosa ,Kaique Pietro Rocha,321,Aries,A+,
467,Sambaqui,88051-045,Florianopolis,588.760.331-30,25/10/2001,gaeljoaquimfernandes..gaeljoaquimfernandes@termakui.com.br,Servidao Jorge Soares de Oliveira,SC,18,Carla Emily Catarina ,Gael Joaquim Fernandes,944,Escorpiao,A-,
468,Ponta da Fruta,29129-010,Vila Velha,606.841.002-15,25/12/1983,iagodavidacunha-78@yahooo.com.br,Rua Altair Rocha Costa,ES,36,Natalia Andreia Emily ,Iago Davi da Cunha,104,Capricornio,B-,
469,Samambaia Sul (Samambaia),72315-558,Brasilia,877.344.909-13,08/11/1966,tiagoluanfarias..tiagoluanfarias@itelefonica.com.br,Quadra QS 517 Conjunto H,DF,53,Isabelle Renata Luiza ,Tiago Luan Farias,699,Escorpiao,O-,
470,Jacintinho,57040-442,Maceio,420.868.827-00,24/09/1970,manoeljulioeduardosilveira__manoeljulioeduardosilveira@endoimplantes.com.br,7a Travessa Sao Jorge,AL,49,Francisca Aurora Clarice ,Manoel Julio Eduardo Silveira,291,Libra,B-,
471,Vila Permanente,68455-662,Tucurui,697.171.589-67,27/03/1947,ffabioeliasteixeira@jerasistemas.com.br,Rua Piaui,PA,72,Alicia Gabrielly ,Fabio Elias Teixeira,984,Aries,B-,
472,Gloria,78141-010,Varzea Grande,429.056.400-30,14/02/1980,ffernandoleandroviniciusviana@paginacom.com.br,Rua da Fe,MT,39,Allana Beatriz Jaqueline ,Fernando Leandro Vinicius Viana,630,Aquario,A-,
473,Clima Bom,57071-545,Maceio,778.488.037-59,09/12/1994,kevinmariogabrielsales-76@terrabrasil.com.br,1a Travessa Sao Luiz,AL,25,Luciana Vera ,Kevin Mario Gabriel Sales,244,Sagitario,O-,
474,Ibiza,68376-735,Altamira,725.521.191-74,07/08/1948,rrenanbernardodacosta@crbrandao.com.br,Passagem VI,PA,71,Mariana Laura Isabella ,Renan Bernardo da Costa,1000,Leao,AB-,
475,Redencao,69049-410,Manaus,378.472.304-70,13/06/1990,beniciojulioalves..beniciojulioalves@p4ed.com,Travessa Bernaca,AM,29,Debora Josefa ,Benicio Julio Alves,161,Gemeos,A-,
476,Jardim Balneario Meia Ponte,74593-500,Goiania,625.938.432-76,17/02/2000,beneditokaiquesales..beneditokaiquesales@lifefp.com.br,Avenida dos Tapuias,GO,19,Nicole Marcia Clarice ,Benedito Kaique Sales,559,Aquario,O-,
477,Vila Primavera,65043-854,Sao Luis,475.612.908-02,06/11/1981,filipeotavionoahdamata__filipeotavionoahdamata@mnproducoes.com,Rua Projetada,MA,38,Natalia Sophia Kamilly ,Filipe Otavio Noah da Mata,231,Escorpiao,AB+,
478,Universidade,68903-489,Macapa,823.589.295-22,22/08/1964,rafaelnoahdiegobaptista-98@advogadostb.com.br,Ramal Eurico Gaspar,AP,55,Emanuelly Hadassa ,Rafael Noah Diego Baptista,723,Leao,AB-,
479,Lagomar,27966-714,Macae,558.220.658-21,26/01/1979,lorenzootaviogomes__lorenzootaviogomes@duoarq.com,Vila Brilho da Lua,RJ,40,Agatha Marli ,Lorenzo Otavio Gomes,339,Aquario,A+,
480,Mansoes de Recreio Estrela D'alva VII,72859-581,Luziania,408.365.694-82,25/03/1951,sebastiaokauedacosta_@edpbr.com.br,Quadra Quadra 65,GO,68,Aurora Vera Sophia ,Sebastiao Kaue da Costa,711,Aries,A-,
481,Sao Torquato,29114-370,Vila Velha,802.801.516-67,26/10/1940,oolivercauedapaz@vemter.com.br,Rua Jose Balbino,ES,79,Betina Agatha ,Oliver Caue da Paz,715,Escorpiao,B-,
482,Gravata,88372-634,Navegantes,661.445.243-63,23/07/1998,henriquemiguelrobertodarosa..henriquemiguelrobertodarosa@ctlive.com.br,Rua Gerhard Schmidt,SC,21,Alana Lais Josefa ,Henrique Miguel Roberto da Rosa,393,Leao,A-,
483,Samambaia Norte (Samambaia),72329-527,Brasilia,759.345.598-00,15/04/1957,heitoreduardogoncalves-72@tce.sp.gov.br,Quadra QS 429 Conjunto G,DF,62,Simone Amanda ,Heitor Eduardo Goncalves,821,Aries,A-,
484,Jardim Ceu Azul,72871-016,Valparaiso de Goias,779.234.407-00,09/09/1999,luccamigueldiogogalvao..luccamigueldiogogalvao@absoluta.med.br,Rua 16,GO,20,Rafaela Analu Lavinia ,Lucca Miguel Diogo Galvao,938,Virgem,AB-,
485,Dezoito do Forte,49072-130,Aracaju,830.124.590-57,14/05/1998,robertogiovannicalebeporto_@capgemini.com,Rua Comandante Poti,SE,21,Adriana Kamilly ,Roberto Giovanni Calebe Porto,238,Touro,B+,
486,Plano Diretor Sul,77022-440,Palmas,249.429.666-80,18/03/1950,filipematheusdamota__filipematheusdamota@yahool.com.br,Quadra 712 Sul Alameda 9,TO,69,Patricia Stefany Jennifer ,Filipe Matheus da Mota,502,Peixes,AB+,
487,Benedito Bentes,57086-152,Maceio,143.975.020-30,26/07/1949,hhugothalesaragao@kof.com.mx,Quadra 26,AL,70,Alicia Livia Sonia ,Hugo Thales Aragao,203,Leao,AB+,
488,Jardim Santana,58807-393,Sousa,546.506.467-66,24/10/1956,sergiosebastiaoosvaldoribeiro_@telefonica.com,Rua Maria Jose Marques da Silva,PB,63,Fernanda Eliane ,Sergio Sebastiao Osvaldo Ribeiro,309,Escorpiao,B+,
489,Canindezinho,60733-160,Fortaleza,313.319.185-37,23/12/1988,yuriosvaldokevindias__yuriosvaldokevindias@aguianet.com.br,Rua Rodrigues Alves,CE,31,Sarah Marlene ,Yuri Osvaldo Kevin Dias,257,Capricornio,A+,
490,Serra do Mimo,47802-546,Barreiras,313.350.686-27,05/10/1993,ccaiomarioalmeida@mcpsolucoesgraficas.com.br,Rua do Tamarindo,BA,26,Carolina Alessandra Vanessa ,Caio Mario Almeida,284,Libra,B+,
491,Colonia Terra Nova,69015-718,Manaus,688.681.822-89,08/09/2001,bernardobryanjosegalvao__bernardobryanjosegalvao@morada.com.br,Rua Andrio,AM,18,Joana Betina ,Bernardo Bryan Jose Galvao,335,Virgem,A+,
492,Estrela,68742-235,Castanhal,673.820.174-51,09/03/1975,carloseduardopedrohenriqueeliasmonteiro__carloseduardopedrohenriqueeliasmonteiro@ahlstrom.com,Travessa Argentina,PA,44,Andreia Sarah ,Carlos Eduardo Pedro Henrique Elias Monteiro,255,Peixes,O+,
493,Bodocongo,58430-485,Campina Grande,279.405.027-35,20/09/1995,marceloruanmonteiro__marceloruanmonteiro@netsite.com.br,Rua Pacifico Licariao da Trindade,PB,24,Carolina Rafaela ,Marcelo Ruan Monteiro,590,Virgem,A-,
494,Jardim Natal,64606-130,Picos,568.073.903-86,20/06/1975,matheushenrymarceloaragao-85@senhorasdaarte.com.br,Avenida General Licinho Pereira Nunes,PI,44,Lavinia Marcia Olivia ,Matheus Henry Marcelo Aragao,421,Gemeos,B+,
495,Nova Canaa,69314-406,Boa Vista,071.156.024-25,08/02/1964,luismarcoslima_@cpfl.com.br,Rua Gideao,RR,55,Evelyn Milena Analu ,Luis Marcos Lima,661,Aquario,A-,
496,Cruzeiro Velho,70648-035,Brasilia,361.575.895-15,25/02/1998,thiagomarcosviniciusdanielgalvao-79@maissaude.adm.br,Quadra SRES Quadra 6 Bloco C,DF,21,Alicia Jaqueline Larissa ,Thiago Marcos Vinicius Daniel Galvao,865,Peixes,AB+,
497,Suissa,49050-030,Aracaju,460.439.189-00,23/12/1977,paulogiovanniramos_@jmmarcenaria.com.br,Rua Jose de Faro Rolemberg,SE,42,Esther Daniela Patricia ,Paulo Giovanni Ramos,749,Capricornio,AB+,
498,Sao Cristovao,68701-607,Capanema,283.432.924-99,09/03/1997,thiagoandrejoaoporto..thiagoandrejoaoporto@vlcorporate.com,Rua Dalila Gomes,PA,22,Teresinha Malu Catarina ,Thiago Andre Joao Porto,480,Peixes,O+,
499,Setor Estrela Dalva,74475-332,Goiania,912.735.982-45,10/12/1978,fernandoeduardoaraujo..fernandoeduardoaraujo@netsinf.com.br,Rua Sol Nascente,GO,41,Isabella Hadassa ,Fernando Eduardo Araujo,126,Sagitario,AB-,
500,Piedade,20740-340,Rio de Janeiro,954.429.396-50,03/07/1961,joaomiguelandersonlopes_@publifix.com.br,Rua Doutor Luis Masson,RJ,58,Priscila Jessica ,Joao Miguel Anderson Lopes,908,Cancer,A-,
501,Condominio Residencial Camping Club,78551-314,Sinop,769.118.140-06,11/11/1966,bbeniciocalebotaviosilveira@gmalato.com.br,Rua Coimbra,MT,53,Tania Betina Rosa ,Benicio Caleb Otavio Silveira,775,Escorpiao,A+,
502,Jardim Carvalho,91430-692,Porto Alegre,960.977.545-40,22/05/1946,rafaelbeneditodamota_@agaxtur.com.br,Passagem Trinta e Tres,RS,73,Giovanna Luna ,Rafael Benedito da Mota,108,Gemeos,O-,
503,Conjunto Tucuma,69919-754,Rio Branco,143.109.093-02,15/03/1940,mmurilothalesrafaeldasilva@gmindustria.com.br,Rua W9,AC,79,Juliana Helena Vitoria ,Murilo Thales Rafael da Silva,766,Peixes,B-,
504,Vida Nova,59147-100,Parnamirim,614.060.329-30,11/10/1998,rafaelnicolasfogaca-96@claro.com.br,Rua Nova America,RN,21,Marina Alana Valentina ,Rafael Nicolas Fogaca,899,Libra,O-,
505,Jardim Santa Izabel,13185-275,Hortolandia,572.405.470-19,06/01/1970,kkevinkaiqueassis@crsilvadesign.com,Rua Circular do Sitio de Recreio II,SP,49,Fabiana Clarice ,Kevin Kaique Assis,303,Capricornio,A-,
506,Alto da Boa Vista,55644-095,Gravata,974.779.532-94,15/12/1956,robertonelsonmelo-84@coldblock.com.br,Rua Henrique Fonseca,PE,63,Luiza Josefa Luzia ,Roberto Nelson Melo,935,Sagitario,O+,
507,Pajucara,59122-348,Natal,292.773.603-05,05/09/1964,ggabrielnathanlorenzonunes@way2goidiomas.com.br,Rua Doutor Carlos Mesquita,RN,55,Sophie Andrea Silvana ,Gabriel Nathan Lorenzo Nunes,165,Virgem,AB-,
508,Buritis,69309-188,Boa Vista,887.919.851-37,12/02/1973,geraldocaiopauloribeiro-72@onset.com.br,Avenida dos Imigrantes,RR,46,Helena Debora Sabrina ,Geraldo Caio Paulo Ribeiro,544,Aquario,B+,
509,Comasa,89228-420,Joinville,747.405.243-17,05/08/1947,robertogabrielmonteiro-83@arteche.com.br,Rua Pixinguinha,SC,72,Eduarda Lara Elaine ,Roberto Gabriel Monteiro,187,Leao,B-,
510,Baixao,57305-400,Arapiraca,794.050.996-98,20/02/1989,tomasdiegonelsonmonteiro..tomasdiegonelsonmonteiro@badauy.com,Rua Jose Alexandre de Albuquerque,AL,30,Emily Milena Maite ,Tomas Diego Nelson Monteiro,693,Peixes,B+,
511,Agostinho Simonato,29311-749,Cachoeiro de Itapemirim,699.860.099-28,05/01/1943,henryvicentesergiobaptista_@jerasistemas.com.br,Escadaria Carmo Thiengo,ES,76,Stefany Renata Rosa ,Henry Vicente Sergio Baptista,552,Capricornio,A-,
512,Olaria,92035-535,Canoas,797.175.014-59,11/09/1954,calebeosvaldobarbosa-95@lifefp.com.br,Rua Dezoito,RS,65,Stella Raimunda Sandra ,Calebe Osvaldo Barbosa,904,Virgem,AB+,
513,Infraero,68908-076,Macapa,618.880.659-31,20/03/1961,mmiguelfranciscomatheusgalvao@sabereler.com.br,Avenida Maria Cavalcante de Azevedo Picanco,AP,58,Fernanda Mariah ,Miguel Francisco Matheus Galvao,894,Peixes,AB+,
514,Plano Diretor Sul,77015-393,Palmas,792.235.438-00,21/10/1939,iagosergiodaconceicao..iagosergiodaconceicao@univap.br,Quadra 303 Sul Alameda 10,TO,80,Sara Benedita ,Iago Sergio da Conceicao,626,Libra,AB-,
515,Perpetuo Socorro,68905-545,Macapa,288.360.031-76,22/02/2001,calebeaugustoiagodacosta-94@comanzzaindaia.com.br,Passagem Rio Jari,AP,18,Debora Sarah ,Calebe Augusto Iago da Costa,917,Peixes,AB-,
516,Marcos Freire,54360-159,Jaboatao dos Guararapes,155.699.916-03,17/09/1992,brunoruanluancardoso__brunoruanluancardoso@pontofinalcafe.com.br,Rua Sao Domingos,PE,27,Andrea Giovanna Emily ,Bruno Ruan Luan Cardoso,861,Virgem,O-,
517,Sao Francisco,37902-013,Passos,735.339.007-70,17/04/1960,enzodiogopinto__enzodiogopinto@arbitral.com,Rua Onze de Dezembro,MG,59,Malu Sophia Marli ,Enzo Diogo Pinto,395,Aries,AB-,
518,Cidade Universitaria,57072-276,Maceio,455.643.269-38,20/10/1940,noahmarcelorocha..noahmarcelorocha@hotmaill.com,Quadra E,AL,79,Daniela Isabella Isabela ,Noah Marcelo Rocha,978,Libra,B+,
519,Mondubim,60767-645,Fortaleza,180.830.510-80,12/07/1980,bernardoantonioalmada__bernardoantonioalmada@ovale.com.br,Rua 18,CE,39,Alice Stefany ,Bernardo Antonio Almada,524,Cancer,AB-,
520,Santa Delmira,59616-380,Mossoro,473.096.540-05,26/03/1985,theomarioraulsouza_@weatherford.com,Rua Luiz Fausto de Medeiros,RN,34,Luzia Ana Maite ,Theo Mario Raul Souza,690,Aries,B-,
521,Operario,69316-322,Boa Vista,985.904.206-39,03/11/1946,ppaulojoaquimaraujo@argo.com.br,Rua OP-XXXIII,RR,73,Agatha Maite ,Paulo Joaquim Araujo,625,Escorpiao,A+,
522,Ceilandia Norte (Ceilandia),72275-322,Brasilia,517.088.375-74,27/01/1966,pietrorafaelnascimento__pietrorafaelnascimento@facilitycom.com.br,Quadra QNR 2 Area Especial 11,DF,53,Gabrielly Malu Vanessa ,Pietro Rafael Nascimento,776,Aquario,O-,
523,Nova Parnaiba,64218-415,Parnaiba,488.380.897-10,14/04/1953,cesarnoahmartins__cesarnoahmartins@jcffactoring.com.br,Travessa Josias de Morais Correia,PI,66,Sebastiana Lucia Luna ,Cesar Noah Martins,605,Aries,A+,
524,Garrote,61637-973,Caucaia,169.848.860-23,08/05/1982,tomasarthurrocha-93@vbrasildigital.net,Rodovia Estruturante - CE 085 s/n Quilometro 13 Sala 8,CE,37,Eloa Maria Rita ,Tomas Arthur Rocha,512,Touro,AB+,
525,Esperanca,24802-120,Itaborai,318.470.004-60,24/11/1949,kauecesarmoraes_@konekoshouten.com.br,Rua L,RJ,70,Tatiane Daiane Sara ,Kaue Cesar Moraes,972,Sagitario,O-,
526,Santa Clara,36771-412,Cataguases,939.097.065-25,11/04/1981,sebastiaoandersonclaudiosales__sebastiaoandersonclaudiosales@trbvm.com,Rua Jose Simeao,MG,38,Andreia Mariane ,Sebastiao Anderson Claudio Sales,166,Aries,B-,
527,Roca Grande,83402-215,Colombo,998.958.182-70,06/01/1977,ryanbeniciocortereal_@fcacomputers.com.br,Rua Aires Fernandes da Silva,PR,42,Alice Marcia Flavia ,Ryan Benicio Corte Real,980,Capricornio,A-,
528,Jardim da Posse,26020-115,Nova Iguacu,348.748.050-60,14/03/1982,eeduardopietrojoseteixeira@51hotmail.com,Rua Professora Katia Batista do Carmo,RJ,37,Agatha Esther ,Eduardo Pietro Jose Teixeira,110,Peixes,AB+,
529,Centro,96020-130,Pelotas,066.796.721-47,16/05/1939,martincaiogalvao..martincaiogalvao@badauy.com,Rua Alexandre Gastaud,RS,80,Isis Raimunda Andreia ,Martin Caio Galvao,484,Touro,AB-,
530,Santa Maria,49044-010,Aracaju,213.005.833-71,04/11/1992,marcosnicolasbaptista..marcosnicolasbaptista@terrabrasil.com.br,Rua Manoel Gratuliano dos Santos,SE,27,Flavia Leticia ,Marcos Nicolas Baptista,420,Escorpiao,O-,
531,Jardim Planalto 1a Secao,79900-636,Ponta Pora,758.219.979-09,22/03/1980,gustavolevimanoelmoura_@lucaslima.com,Rua Planalto Central,MS,39,Joana Cristiane Sophia ,Gustavo Levi Manoel Moura,412,Aries,B-,
532,Jardim Janaina (Taquaralto),77062-164,Palmas,858.666.733-12,11/05/1959,gabrielgeraldolevisales..gabrielgeraldolevisales@carlosalbertoleite.com.br,Rua Fabricio Cesar Freire,TO,60,Sonia Stefany Patricia ,Gabriel Geraldo Levi Sales,595,Touro,B+,
533,Getulio Vargas,49055-610,Aracaju,046.391.337-07,27/01/1952,manoelluisfelipepeixoto..manoelluisfelipepeixoto@lonza.com,Rua Salgado,SE,67,Silvana Maya ,Manoel Luis Felipe Peixoto,496,Aquario,AB-,
534,Chacara Nossa Senhora do Bom Conselho,05763-908,Sao Paulo,605.042.918-90,27/04/1951,isaacosvaldomarciodapaz-83@abcturismo.com.br,Rua Nossa Senhora do Bom Conselho 299,SP,68,Elza Esther Nair ,Isaac Osvaldo Marcio da Paz,438,Touro,O-,
535,Santa Barbara,65059-826,Sao Luis,340.445.117-13,20/04/1996,calebelorenzohugolopes..calebelorenzohugolopes@mastria.com.br,Rua do Porto,MA,23,Raimunda Elisa ,Calebe Lorenzo Hugo Lopes,132,Aries,AB-,
536,Inhauma,20766-440,Rio de Janeiro,879.165.509-97,13/10/1963,yagopedrohenriquemoreira__yagopedrohenriquemoreira@konekoshouten.com.br,Rua Uniao,RJ,56,Claudia Heloise Carolina ,Yago Pedro Henrique Moreira,938,Libra,B-,
537,Jardim Santa Emilia,79093-140,Campo Grande,913.150.023-45,10/02/1986,mmatheuslevipeixoto@gabiaatelier.com.br,Rua Antonio Ignacio de Souza,MS,33,Heloise Nina ,Matheus Levi Peixoto,220,Aquario,A+,
538,Zona de Expansao (Mosqueiro),49008-575,Aracaju,008.782.691-77,22/02/1970,ccauetomasricardodrumond@gmindustria.com.br,Rua Jose Almerindo dos Santos,SE,49,Louise Priscila ,Caue Tomas Ricardo Drumond,138,Peixes,AB+,
539,Benedito Bentes,57085-270,Maceio,162.131.708-04,19/04/1945,nathanbryancastro__nathanbryancastro@monsanto.com,Rua Babacu,AL,74,Bruna Mariane ,Nathan Bryan Castro,911,Aries,B+,
